name,url,description,job_levels,languages,assessment_length,test_types,remote_testing,downloads
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,"The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Potential job titles that use this solution are: Manager, Store Manager, and Branch Manager.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 57,"A, B, K, P, S",No,"[{'name': 'Fact Sheet Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Manager One Sitting_USE.pdf'}]"
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,"Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA).","Front Line Manager, Manager,","English (USA), English International,",Approximate Completion Time in minutes = 53,"A, B, C",No,"[{'name': 'Manager + 7.0 Detailed Report', 'url': 'https://service.shl.com/docs/Manager_plus_7.0 Detailed Report (1).pdf'}, {'name': 'Manager + 7.0 Development Report', 'url': 'https://service.shl.com/docs/Manager_plus_7.0 Development Report (1).pdf'}, {'name': 'Manager + 7.0 Interview Report', 'url': 'https://service.shl.com/docs/Manager_plus_7.0 Interview Report (1).pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/ManagerPlus_7.0_FactSheet(USE).pdf'}]"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","Director, Executive, Front Line Manager, Manager,","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),",Approximate Completion Time in minutes = 63,"B, C, P",No,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_grw@gmail.com_Manager%2BCandidateReport_1098697.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_grw@gmail.com_Manager%2BDetailedReport_1098697.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_grw@gmail.com_Manager%2BInterviewReport_1098697.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_USE_Manager%2BCandidateReport_1098697.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_USE_Manager%2BDetailedReport_1098697.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_USE_Manager%2BInterviewReport_1098697.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1Americas_CandidateReport_PTBR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1Americas_DetailedReport_PTBR.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1Americas_InterviewReport_PTBR.pdf'}]"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","Director, Executive, Front Line Manager, Manager,","French (Canada), Dutch, Finnish, Norwegian, Swedish, Portuguese (Brazil), Danish, English (USA), Italian,",Approximate Completion Time in minutes = 63,"B, C, P",No,"[{'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_CFR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_CFR.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_CFR.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_USE.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_USE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_USE.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_Danish.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_Danish.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_DANISH.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_Dutch.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_Dutch.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_DUTCH.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_FIN.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_Finnish.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_FINNISH.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_ITALIAN.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_Italian.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_ITALIAN.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_NOR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_NOR.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_NOR.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_SWEDISH.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_Swedish.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_Swedish.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_CandidateReport_BRA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_DetailedReport_BRA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager%2B7.1(International)_InterviewReport_BRA.pdf'}]"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,"Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Latin American Spanish.","Manager, Front Line Manager,","French (Canada), Latin American Spanish, English International, English (USA),",Approximate Completion Time in minutes = 35,"B, C",No,"[{'name': 'Sample Report – Detailed', 'url': 'https://service.shl.com/docs/Manager Candidate Detailed Report NAS.pdf'}, {'name': 'Sample Report – Development', 'url': 'https://service.shl.com/docs/Manager Candidate Development Report NAS.pdf'}, {'name': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Manager Candidate Interview Report NAS.pdf'}, {'name': 'Sample Report – Detailed', 'url': 'https://service.shl.com/docs/Manager 7.0 Detailed Report.pdf'}, {'name': 'Sample Report – Development', 'url': 'https://service.shl.com/docs/Manager 7.0 Development Report.pdf'}, {'name': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Manager 7.0 Interview Report.pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Manager_7.0_FactSheet(USE).pdf'}]"
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".","Executive, Director, Front Line Manager, Manager,","Portuguese (Brazil), French (Canada),",Approximate Completion Time in minutes = 40,"B, C, P",No,[]
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".","Director, Executive, Front Line Manager, Manager,","English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada),",Approximate Completion Time in minutes = 40,"B, C, P",No,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1 UKE CandidateReport_1099280.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1 UKE DetailedReport_1099280.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager7.1 UKE InterviewReport_1099280.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Candidate Report_CFR.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_CFR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1(International)_Detailed Report_CFR.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate2204@shl.com_Manager7.1CandidateReport_1099280.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate2204@shl.com_Manager7.1DetailedReport_1099280.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate2204@shl.com_Manager7.1InterviewReport_1099280.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_DAN.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_DAN.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1(International)_Candidate Report_DAN.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1(International)_Candidate Report_FIN.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_FIN.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_FIN.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1 FRENCH CandidateReport_1099280.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1 FRENCH DetailedReport_1099280.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager7.1 FRENCH InterviewReport_1099280.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1 GERMAN CandidateReport_1099280.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1 GERMAN DetailedReport_1099280.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager7.1 GERMAN InterviewReport_1099280.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1_International_Candidate Report_ITA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_ITA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_ITA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_NOR.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Candidate Report_NOR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_NOR.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager 7.1 JFA Candidate Report Romanian.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1 JFA Detailed Report Romanian.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1 JFA Interview Report Romanian.pdf'}]"
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.,"Manager,","English (USA), English International,",Approximate Completion Time in minutes = 26,"B, K, P",No,"[{'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Manager 8.0 JFA - Fact Sheet.docx'}, {'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Manager 8.0 JFA - Fact Sheet.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager8.0_CandidateReport_UKE.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager8.0_DetailedReport_UKE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager8.0_InterviewReport_UKE.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager8.0_CandidateReport_USE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager8.0_InterviewReport_USE.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager8.0_DetailedReport_USE.pdf'}]"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,"The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.","Manager,","English (USA), English International,",Approximate Completion Time in minutes = 44,"B, K, P",No,"[{'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Manager 8.0%2B JFA - Fact Sheet.docx'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager8.0%2B_CandidateReport_UKE.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager8.0%2B_DetailedReport_UKE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager8.0%2B_InterviewReport_UKE.pdf'}, {'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Manager 8.0%2B JFA - Fact Sheet.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager8.0%2B_CandidateReport_USE.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager8.0%2B_DetailedReport_USE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager8.0%2B_InterviewReport_USE.pdf'}]"
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,"The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate’s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35,"A, B",No,"[{'name': 'Fact Sheet Manufacturing Production Team Member_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Manufacturing Production Team Member_USE.pdf'}]"
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,"The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 45,"A, B",No,"[{'name': 'Skilled Maintenance Worker - Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Manufacturing Skilled Maintenance_USE.pdf'}]"
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,"The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.","Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 41,"P, S, K, B, A",No,"[{'name': 'Fact Sheet Telecommunications Suite Network Engineer Analyst One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Telecommunications Suite Network Engineer Analyst One Sitting_USE.pdf'}]"
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,"The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees.  Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 59,"S, A, B, P",No,"[{'name': 'Fact Sheet Nurse Leader One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Nurse Leader One Sitting_USE.pdf'}]"
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,"The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration.  Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues.  Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse.  Multiple configurations of this solution are available.","Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 66,"P, A, B",No,"[{'name': 'Fact Sheet Nurse One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Nurse One Sitting_USE.pdf'}]"
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,"The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake.  Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant.  Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 41,"A, B, P",No,"[{'name': 'Fact Sheet Nursing Assistant One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Nursing Assistant One Sitting_USE.pdf'}]"
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,"The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.","Entry-Level, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 30,"A, B, K, P, S",No,"[{'name': 'Fact Sheet Personal Banker Loan Officer One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Personal Banker Loan Officer One Sitting_USE.pdf'}]"
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,"This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","Entry-Level, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 40,"A, B, P",No,"[{'name': 'Fact Sheet Phone Banker One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Phone Banker One Sitting_USE.pdf'}]"
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,"The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 24,"A, B, P",No,"[{'name': 'Fact Sheet Hospitality Suite Prep Line Cook One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Prep Line Cook One Sitting_USE.pdf'}]"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).","Mid-Professional, Professional Individual Contributor,","English International, English (USA),",Approximate Completion Time in minutes = 51,"A, B, C",No,"[{'name': 'Professional + 7.0 Detailed Report', 'url': 'https://service.shl.com/docs/Professional_plus_7.0 Detailed Report (1).pdf'}, {'name': 'Professional + 7.0 Development Report', 'url': 'https://service.shl.com/docs/Professional_plus_7.0 Development Report (1).pdf'}, {'name': 'Professional + 7.0 Interview Report', 'url': 'https://service.shl.com/docs/Professional_plus_7.0 Interview Report (1).pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/ProfessionalPlus_7.0_FactSheet(USE).pdf'}]"
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","General Population, Mid-Professional, Professional Individual Contributor,","Latin American Spanish,",Approximate Completion Time in minutes = 56,"B, C, P",No,[]
